06:54:42 | 1Gb | 04:8F:00:A0:17:76
06:57:20 | 1Gb | 04:8F:00:A0:17:76
07:00:16 | 1Gb | 04:8F:00:A0:17:76
07:06:06 | 1Gb | 04:8F:00:03:A5:76
07:11:05 | 1Gb | 04:8F:00:03:A5:76
07:17:10 | 1Gb | 04:8F:00:03:A5:76
07:21:37 | 1Gb | 04:8F:00:03:A5:76
07:48:49 | 1Gb | 192.168.18.1
07:51:59 | 1Gb | 192.168.18.1
07:55:23 | 1Gb | 192.168.18.1
07:57:35 | 1Gb | 192.168.18.1
08:00:57 | 1Gb | 192.168.18.1
08:49:05 | 1Gb | 04:8F:00:03:A5:76
08:56:34 | 1Gb | 04:8F:00:A0:17:76
09:02:34 | 1Gb | 04:8F:00:A0:17:76
